,post_title,post_user,post_firm,post_position,post_text,post_like,post_comment,post_timestamp,post_url,company
0,Wells Fargo & Twitter referral,YYad34,/company/Novartis/,nan,Can anyone refer me to some positions in either Wells Fargo or Twitter? I am a PhD new grad. Thanks,3,6,2020-3-26 12:57:41,/post/Wells-Fargo-Twitter-referral-etQQqdw5,Wells-Fargo
0,Wells Fargo system issues?,DTqQRL,/company/Airbnb/,nan,"Wells Fargo's system went down recently and it's been a cause for concern for me. I recently moved to the US and chose Wells Fargo because it was close to my home, but when the system went down a week or so ago I kept getting fraud alert texts from them. I was fine with the text messages and to a certain extent am okay with the system going down, but when trying to investigate these fraud alerts by calling the Wells Fargo number I had to basically input my card info and password over the phone. How safe is this?? Before coming to the States I used to bank with HSBC. HSBC provided you with a little digital code generator to use when you needed to speak with someone over the phone or to access your online banking. They started doing this like 10 years ago. I believe most Asian banks provide this kind of service. Are all US banks stuck in the dark ages with having to provide your sensitive info over the phone?? Or are there better banks with better security measures? Who would you recommend banking with in the US? Bank of America? Chase? Citi?  Or is Wells Fargo the best here? Let me know below.",2,22,2019-2-19 19:31:00,/post/Wells-Fargo-system-issues-YTB3N0Je,Wells-Fargo
0,Wells Fargo Asset Management Sale ,MW22,/company/Wells-Fargo/,nan,Does anyone have information or thoughts on this?https://www.google.com/amp/s/mobile.reuters.com/article/amp/idUSKBN27800M,1,2,2020-10-23 01:02:06,/post/Wells-Fargo-Asset-Management-Sale-V71jTTju,Wells-Fargo
0,Wells fargo production support,gladwork,/company/Accenture/,nan,Anyone from Java background deployed into wells Fargo prod support in St. LouisWant to know the work culture and pressure,1,8,2020-9-3 21:01:21,/post/Wells-fargo-production-support-bc2vAqBN,Wells-Fargo
0,Wells Fargo India interview,garuda020,/company/Johnson-Controls/,Project,"Hello all,My journey in getting a job back after being furloughed recently continues and the new milestone is an interview coming up for wells fargo India as a project manager 5. The questions I have are1. What are the pm levels like?2. What kind of interview rounds can I expect after the initial phone screen?3. What is the compensation looking like?TC: 110KYOE: 12Thank you in advance of all the help. I hope soon I can return this favor. #tech #interview #pm",0,1,2020-7-24 00:15:25,/post/Wells-Fargo-India-interview-tEB8ifbv,Wells-Fargo
0,Wells Fargo Nationwide wfh,HT6G3,nan,Finance,"Just heard that Wells Fargo ordered employees to cancel all domestic travel plans, likely to require employees to work from home starting Monday.Wells Fargo has &gt270,000 employees.",5,9,2020-3-6 08:38:32,/post/Wells-Fargo-Nationwide-wfh-BUQbWCRd,Wells-Fargo
0,Home loan - Wells Fargo?,ggadub,/company/Amazon/,nan,Do you recommend them in Bay Area? For a loan amount of 1.2M. Do they beat other big banks in rate? Should I consider other small lenders?,2,26,2018-2-7 02:15:59,/post/Home-loan---Wells-Fargo-RAYFMHNm,Wells-Fargo
0,NLP DS @ Wells Fargo,DataDork,/company/Ecolab/,Data,Whats it like doing NLP at wells? Seems like they have a lot people doing NLP there.,3,0,2020-7-14 00:11:56,/post/NLP-DS-@-Wells-Fargo-bbdeeChH,Wells-Fargo
0,Wells Fargo TC / Title - Senior Finance Manager,qwertyuio7,/company/JPMorgan/,nan,"Hi.1) What is expected TC for a Senior Finance Manager position with 15 YOE including managing teams up to 20 FTE. This would be in Enterprise Finance (rolls up into CFO)2) What is the job title hierarchy at WF? I see lead finance consultant, senior finance manager. Do they not have analyst, associate, VP, ED/Director, MD?Thanks",0,4,2021-3-13 15:33:08,/post/Wells-Fargo-TC-Title---Senior-Finance-Manager-Ad38PX8t,Wells-Fargo
0,Referral for Wells Fargo,chipmun,/company/Indigo/,nan,"Hi,Need help with a referral in Wells Fargo.Would be happy to share my LI profile if you want to go through before referring me.Thank you in advance!",0,1,2020-9-10 03:48:33,/post/Referral-for-Wells-Fargo-LURJMy81,Wells-Fargo
